Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2001,4742,0.895,-99,-99,-99,0.211,0.782,0.007,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2002,11713,0.896,-99,-99,-99,0.697,0.201,0.102,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2003,16669,0.933,-99,-99,-99,0.087,0.902,0.011,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2004,13716,0.959,-99,-99,-99,0.069,0.858,0.073,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2005,4204,0.903,-99,-99,-99,0.281,0.527,0.19,0.002,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2006,6605,0.933,-99,-99,-99,0.212,0.762,0.025,0.001,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2007,3999,0.955,-99,-99,-99,0.133,0.775,0.092,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2008,2608,0.921,-99,-99,-99,0.253,0.697,0.05,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2009,2876,0.965,-99,-99,-99,0.683,0.24,0.077,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2010,6380,0.953,-99,-99,-99,0.093,0.894,0.013,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2011,10809,0.93,-99,-99,-99,0.043,0.93,0.026,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2012,8010,0.972,-99,-99,-99,0.091,0.742,0.167,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2013,5134,0.941,-99,-99,-99,0.44,0.433,0.123,0.003,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2014,4792,0.89,-99,-99,-99,0.124,0.837,0.035,0.005,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2015,11580,0.938,-99,-99,-99,0.427,0.545,0.027,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2016,31138,0.977,-99,-99,-99,0.113,0.826,0.061,0.001,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2017,6662,0.933,-99,-99,-99,0.245,0.534,0.219,0.002,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2018,6811,0.928,-99,-99,-99,0.671,0.294,0.032,0.002,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2005,923,0.977,-99,-99,-99,0.095,0.905,0,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2006,869,-99,-99,-99,-99,0.024,0.976,0,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2007,576,-99,-99,-99,-99,0.168,0.605,0.226,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2008,644,-99,-99,-99,-99,0.329,0.659,0.012,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2009,1154,0.969,-99,-99,-99,0.476,0.476,0.048,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2010,2148,-99,-99,-99,-99,0.333,0.667,0,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2011,4801,-99,-99,-99,-99,0.04,0.932,0.028,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2012,2498,-99,-99,-99,-99,0.041,0.649,0.311,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2013,1364,-99,-99,-99,-99,0.537,0.343,0.119,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2014,1387,-99,-99,-99,-99,0.151,0.818,0.031,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2015,4694,-99,-99,-99,-99,0.433,0.567,0,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2016,5155,0.982,-99,-99,-99,0.018,0.856,0.126,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2017,1570,1,-99,-99,-99,0.296,0.493,0.211,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,124,"Salmon, chum (Columbia River ESU)",Cascade,Washougal Fall Chum,Washougal R.,2.1.8,Chum salmon,Fall,Washougal River,2018,2518,0.987,-99,-99,-99,0.709,0.291,0,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2000,1265,1,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2001,2032,1,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2002,7954,1,-99,-99,-99,0.339,0.637,0.024,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2003,3381,1,-99,-99,-99,0.039,0.866,0.095,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2004,2103,1,-99,-99,-99,0.429,0.429,0.142,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2005,939,0.96,-99,-99,-99,0.196,0.762,0.043,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2006,1606,1,-99,-99,-99,0.043,0.948,0.009,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2007,510,1,-99,-99,-99,0.206,0.515,0.279,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2008,602,0.957,-99,-99,-99,0.276,0.685,0.036,0.003,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2009,597,0.957,-99,-99,-99,0.419,0.497,0.08,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2010,2674,1,-99,-99,-99,0.168,0.807,0.024,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2011,3190,1,-99,-99,-99,0.068,0.91,0.022,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2012,1864,1,-99,-99,-99,0.052,0.687,0.261,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2013,1595,1,-99,-99,-99,0.687,0.21,0.091,0.012,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2014,2387,0.981,-99,-99,-99,0.195,0.797,0.007,0,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2015,5345,1,-99,-99,-99,0.213,0.744,0.043,0,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2016,6103,1,-99,-99,-99,0.116,0.784,0.099,0,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2017,1499,1,-99,-99,-99,0.318,0.438,0.244,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,118,"Salmon, chum (Columbia River ESU)",Gorge,Lower Gorge (Columbia) Fall Chum,Low. Gorge Tribs.,3.1.1,Chum salmon,Fall,Lower Gorge Tributaries,2018,4918,0.987,-99,-99,-99,0.842,0.158,0,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1938,2114,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1939,1147,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1940,1729,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1941,5269,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1942,1865,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1943,778,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1944,953,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1945,727,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1946,1176,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1947,193,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1948,3571,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1949,2018,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1950,1069,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1951,1044,-99,-99,-99,-99,-99,-99,-99,-99,-99
