Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1952,1504,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1953,1728,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1954,1569,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1955,313,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1956,693,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1957,562,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1958,455,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1959,900,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1960,1017,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1961,896,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1962,1013,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1963,740,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1964,632,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1965,496,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1966,872,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1967,352,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1968,79,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1969,143,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1970,209,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1971,29,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1972,1,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1973,43,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1974,23,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1975,11,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1976,11,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1977,17,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1978,28,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1979,1,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1980,0,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1981,0,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1982,0,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1983,0,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1984,0,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1985,0,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1986,0,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1987,0,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1988,0,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1989,16,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1990,25,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1991,5,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1992,39,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1993,17,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1994,26,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1995,30,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1996,21,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1997,46,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1998,118,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,1999,43,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2000,17,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2001,29,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2002,98,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2003,411,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2004,42,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2005,139,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2006,165,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2007,142,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2008,75,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2009,109,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2010,124,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2011,50,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2012,65,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2013,167,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2014,122,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2015,176,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2016,47,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2017,21,-99,-99,-99,-99,-99,-99,-99,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,123,"Salmon, chum (Columbia River ESU)",Gorge,Upper Gorge (Columbia) Fall Chum,Up. Gorge Tribs.,3.1.2,Chum salmon,Fall,Upper Gorge Tributaries,2018,180,-99,-99,-99,-99,-99,-99,-99,-99,-99
