"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1977","2752","1","84","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1978","2398","1","30","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1979","1335","1","30","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1980","1054","1","30","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1981","858","1","0","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1982","4131","1","29","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1983","603","1","14","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1984","2447","1","27","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1985","-99","1","40","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1986","1174","1","43","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1987","-99","1","123","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1988","6148","-99","193","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1989","1671","-99","6","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1990","699","-99","33","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1991","1780","-99","175","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1992","4058","-99","109","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1993","438","-99","32","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1994","964","-99","54","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1995","459","-99","94","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1996","3931","-99","200","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1997","1346","-99","263","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1998","1882","-99","88","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1999","2620","-99","29","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2000","4851","0.676","141","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2001","4077","0.971","229","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2002","3820","0.934","144","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2003","4876","0.97","175","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2004","6080","0.938","196","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2005","1721","0.9","160","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2006","2075","0.935","48","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2007","748","0.991","39","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2008","2151","0.906","206","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2009","4769","0.885","184","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2010","2986","0.916","215","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2011","2457","0.91","114","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2012","8206","0.678","80","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2013","2650","0.803","183","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2014","5097","0.987","180","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2015","6638","0.947","183","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2016","12829","0.994","235","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2017","5265","0.978","154","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","2018","3264","0.883","47","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
